attention meditation delta theta velocity
43 43 949821 204182 0 
47 61 1465606 66874 0 
51 60 602252 29224 0 
67 53 761564 28409 0 
84 41 1523913 173695 0 
69 16 207159 393254 0 
63 10 408572 120181 0 
57 21 198852 69079 0 
60 30 66167 29437 0 
66 47 258616 35607 0 
60 54 207805 109093 0 
48 48 304043 89846 0 
43 35 1010210 463540 0 
23 38 1112248 378985 0 
27 41 86796 59767 0 
30 54 34971 52457 0 
34 69 71991 128973 0 
41 64 1657412 108483 0 
37 61 220281 115013 0 
37 53 76876 12358 0 
56 44 447948 64672 0 
47 51 166120 28187 0 
51 53 36734 31599 0 
48 61 21805 30036 0 
51 75 105702 26034 0 
54 67 36996 57434 0 
47 67 28260 51794 0 
50 53 161332 110141 0 
44 61 46965 33703 0 
51 66 631761 18056 0 
61 43 133572 105986 0 
57 38 66382 202011 0 
53 14 333090 247611 0 
50 8 137433 93210 0 
48 13 897081 154303 0 
51 37 48477 9582 0 
57 47 84019 29654 0 
66 54 46743 20491 0 
64 67 45631 36560 0 
69 53 314256 128131 0 
61 43 127125 166832 0 
56 43 1492273 66028 0 
60 50 83911 14351 0 
54 44 34454 70618 0 
57 54 10151 78708 0 
64 53 44419 34512 0 
50 53 221716 62080 0 
54 54 48231 64446 0 
57 60 68431 29913 0 
74 47 154825 31782 0 
69 51 26304 49974 0 
77 50 18607 26535 0 
67 47 26050 38770 0 
77 50 363635 24031 0 
75 38 152815 103231 0 
64 40 18046 20572 0 
78 48 8463 8410 0 
80 43 8693 10740 0 
74 48 164102 61851 0 
60 37 250768 212627 0 
48 29 239424 133406 0 
24 14 1093259 202292 0 
34 21 1041856 71868 0 
35 29 563506 85718 0 
29 11 469679 561007 0 
37 40 2082894 100377 0 
29 37 1086551 130053 0 
37 40 516684 68615 0 
11 43 190234 31423 0 
13 43 354282 120768 0 
20 51 404858 70720 0 
16 50 346424 356154 0 
27 43 67022 20855 0 
29 40 332996 85648 0 
43 37 484032 160851 0 
48 30 202146 26445 0 
54 43 313432 50814 0 
66 66 236460 62508 0 
57 67 398847 51779 0 
60 63 502943 97698 0 
69 56 50149 17663 0 
83 47 33507 5219 0 
94 38 6293 3508 0 
90 47 11807 12807 0 
83 48 15640 13792 0 
93 57 16864 8599 0 
90 44 37976 30306 0 
70 50 100263 80466 0 
75 50 85359 25110 0 
51 41 287206 172213 0 
75 38 45951 54036 0 
69 48 555163 4864 0 
78 54 317034 67675 0 
83 54 5363 2708 0 
78 41 158532 69544 0 
66 24 154183 89783 0 
51 10 204669 97185 0 
50 13 3633 3362 0 
53 26 74219 47860 0 
74 26 35514 16136 0 
91 41 25553 33113 0 
77 34 440708 52449 0 
75 27 374519 94655 0 
64 24 27189 21704 0 
77 13 7423 14948 0 
83 27 287805 32993 0 
74 35 716303 22482 0 
69 43 3304911 227029 0 
61 37 1475118 403841 0 
61 37 894014 31054 0 
61 37 2536302 511464 0 
61 37 16 6 0 
61 37 48067 30955 0 
0 0 1318398 42697 0 
0 0 187704 48976 0 
0 0 793448 20958 0 
0 0 1321461 55602 0 
0 0 241740 69252 0 
64 47 205374 34985 0 
83 29 847183 116205 0 
96 21 92228 10858 0 
87 17 832328 62709 0 
75 10 809744 34344 0 
63 29 904421 99877 0 
47 21 492206 538562 0 
44 4 1985423 701687 0 
44 1 741398 89510 0 
47 1 653382 243119 0 
47 1 411405 18982 0 
56 13 514079 557304 0 
67 23 76082 25751 0 
83 30 995712 123026 0 
90 47 379051 22485 0 
91 53 783057 84294 0 
70 43 926310 1662713 0 
57 27 1161817 160761 0 
53 14 356335 199425 0 
53 14 1615089 209655 0 
53 14 1521220 42232 0 
53 14 778012 373870 0 
53 10 278185 23525 0 
69 26 131207 121377 0 
74 50 631472 25867 0 
66 56 1637203 750588 0 
60 66 93744 11805 0 
50 74 528383 184073 0 
56 61 274363 30355 0 
64 60 1023205 373363 0 
80 60 327998 153158 0 
88 67 1335297 44087 0 
96 83 681503 87230 0 
94 69 712089 285406 0 
91 50 402799 53634 0 
37 63 1130883 540010 0 
37 63 238709 2534 0 
35 57 183165 9772 0 
26 54 1155271 251027 0 
30 69 1419251 796624 0 
35 69 899214 90415 0 
37 48 266685 147887 0 
54 37 408710 82398 0 
43 14 591571 68672 0 
44 26 1019336 141467 0 
34 27 1440575 61306 0 
34 17 1256363 742142 0 
30 27 1944692 331566 0 
47 24 2006945 86805 0 
53 48 186885 3149 0 
56 61 816106 76579 0 
63 53 1064394 168101 0 
54 51 1624697 154223 0 
63 37 331709 39652 0 
67 34 480189 427987 0 
66 40 1857586 207578 0 
61 35 996455 336335 0 
50 43 156767 29174 0 
44 53 815918 214721 0 
51 53 89671 101735 0 
54 74 528473 37458 0 
44 54 929254 471147 0 
44 35 566661 216770 0 
37 37 828686 280559 0 
35 26 896264 299809 0 
54 41 2488659 60758 0 
61 56 1199538 160977 0 
64 66 2416767 67523 0 
70 63 153247 7339 0 
3 1 116970 30382 0 
27 1 50516 19083 0 
67 11 687415 94376 0 
93 26 782405 141362 0 
93 21 610377 290392 0 
81 43 1162673 166207 0 
57 40 172664 9381 0 
54 44 520787 90702 0 
38 30 1418631 404076 0 
63 23 1323125 83481 0 
80 24 741538 89431 0 
67 7 707699 982201 0 
80 14 777313 120499 0 
56 13 742632 320556 0 
37 11 964539 193078 0 
54 27 2479739 153730 0 
35 21 933576 176602 0 
27 35 249567 70044 0 
27 35 534303 92412 0 
21 26 766676 252128 0 
23 17 873135 67381 0 
29 23 785344 92315 0 
35 44 1999945 91396 0 
38 48 1630956 241915 0 
10 35 540934 198168 0 
11 30 332975 75430 0 
37 48 791343 247968 0 
38 44 1241999 15829 0 
21 40 1498728 378586 0 
40 27 125456 123370 0 
63 38 108919 145938 0 
61 34 160858 31720 0 
88 26 548060 154465 0 
67 35 155348 101140 0 
53 44 567431 998179 0 
74 43 951214 50577 0 
61 27 908627 203718 0 
60 13 48808 25814 0 
54 14 816258 563696 0 
29 10 198186 126169 0 
30 7 2105450 507932 0 
