attention meditation delta theta velocity
81 35 1951605 148902 13,47088 
78 44 2012551 122741 14,21806 
91 57 72768 20774 14,37965 
74 43 808755 62009 16,01907 
70 41 1280347 54132 16,19952 
51 26 809133 483976 16,3738 
60 29 342129 108586 15,55993 
54 38 743813 87755 14,78651 
61 17 473340 214382 14,0867 
66 30 254597 72419 14,22402 
70 27 137432 39539 14,3713 
75 34 549195 149460 14,5143 
90 44 386112 33870 14,66019 
93 50 529215 37960 15,41158 
100 56 64868 12629 0 
100 56 67763 47319 10,10047 
94 44 72291 56104 10,59165 
100 38 130047 22802 11,12896 
97 50 532001 92718 11,71106 
94 63 285877 18835 0 
75 57 952634 185132 10,70342 
78 41 92057 56898 10,80992 
80 26 388400 124543 10,92622 
74 23 1395673 138239 10,38832 
77 34 447947 165144 10,49693 
83 43 136540 6659 10,6088 
87 38 349873 48345 11,21403 
83 29 191622 108048 11,83013 
75 13 50510 39980 13,17887 
77 26 133627 31200 0 
83 29 935947 78458 0 
69 17 264540 40967 0 
67 30 902385 56477 0 
74 14 1313964 274681 0 
66 8 728538 488935 0 
69 3 1212419 303077 0 
67 3 95758 138333 0 
64 11 75887 86987 0 
64 11 75887 86987 0 
78 20 105148 17789 0 
78 20 105148 17789 0 
93 38 87632 36638 0 
91 29 436963 72028 0 
93 30 75344 117070 0 
91 40 200072 20896 0 
94 35 239458 322985 0 
88 38 101007 36239 0 
78 35 889387 141512 0 
67 29 392818 100514 0 
78 48 301185 39693 0 
87 54 38466 40227 0 
96 74 45972 36006 0 
100 75 208185 61723 0 
100 81 92490 25454 0 
94 75 128571 30855 0 
77 53 135481 134426 0 
81 57 121440 9993 0 
77 57 391243 17849 0 
74 40 2074500 650669 0 
88 48 667233 33564 0 
69 35 708211 63955 0 
70 23 1007546 59934 0 
80 43 108477 63146 0 
70 47 2145086 127011 0 
67 70 378917 29244 0 
63 77 464004 53284 0 
66 66 1091701 131594 0 
66 63 136011 215058 0 
75 61 225301 74741 0 
61 64 162327 92055 0 
60 66 117632 37815 0 
75 64 126271 35735 0 
77 61 81809 79341 0 
78 56 172474 50333 0 
77 67 231297 38434 0 
69 80 182328 32718 0 
63 87 1028677 87166 0 
67 84 912915 71696 0 
61 75 112001 29437 0 
64 67 403624 65026 0 
64 80 419598 28309 0 
60 78 592114 362640 0 
67 80 234669 147035 0 
63 80 1005304 124819 0 
66 53 668008 128988 0 
67 63 224889 128685 0 
69 63 1393395 86990 0 
66 61 179641 25813 0 
67 69 307529 202372 0 
74 69 1128740 61927 0 
66 61 740007 165945 0 
69 70 158197 77742 0 
38 50 386706 105338 0 
44 50 1448235 122515 0 
50 40 1077640 136187 9,995003 
50 43 1615777 170774 9,995003 
60 53 1049251 225721 9,995003 
61 54 249174 72771 9,995003 
56 56 109540 47133 10,1481 
63 50 991736 26092 9,995003 
57 48 978181 258761 10,15115 
57 50 92852 51423 9,995003 
66 54 232437 34005 9,995003 
63 56 43377 79754 10,15318 
64 61 42434 183099 10,27371 
56 53 95001 91183 10,37905 
37 56 339895 295976 9,995003 
27 50 179619 187195 9,995003 
38 48 65915 68950 9,995003 
37 44 109102 98238 9,995003 
30 44 123449 248075 9,995003 
37 53 59149 149882 9,995003 
30 54 468281 95075 9,995003 
35 63 229935 99127 9,995003 
56 54 305978 46157 9,995003 
54 43 108355 35972 9,995003 
70 34 22205 46152 9,995003 
66 57 133737 31556 10,11163 
77 66 977097 53697 10,2194 
81 69 53092 40463 10,33348 
74 74 133486 45807 10,89574 
74 63 114759 40220 11,01076 
69 66 235780 26425 11,12922 
57 67 811919 185359 11,25796 
67 61 124970 36482 10,67167 
70 57 24847 49766 10,79296 
66 51 41891 34749 10,91235 
67 57 222203 74465 11,03637 
74 63 18271 7417 11,16516 
75 70 39000 16327 11,29318 
81 81 31224 14050 11,40327 
100 64 26358 7612 11,98174 
84 64 57167 25186 12,64001 
80 61 26933 22842 13,23483 
70 54 28452 29421 12,58956 
54 83 19967 8663 12,72374 
67 83 40447 11084 12,13367 
63 78 287124 62087 12,25809 
67 75 37541 5908 12,512 
57 64 191458 87609 12,63776 
70 56 38015 14625 11,97363 
67 50 125076 41184 12,09519 
63 38 179513 44428 12,2241 
61 40 715565 138555 12,35314 
47 37 533133 196904 12,48604 
47 37 611717 72302 11,84764 
37 38 1761582 250519 10,6245 
44 53 820448 23575 10,11155 
53 61 141067 14051 9,995003 
48 48 128481 112907 9,995003 
47 75 1119315 121783 9,995003 
26 69 1815697 126941 9,995003 
29 78 522581 186722 9,995003 
34 57 592251 209943 9,995003 
40 57 712623 81614 9,995003 
34 43 335606 625840 9,995003 
30 50 799194 203617 9,995003 
30 54 2758781 330390 9,995003 
34 44 429522 52612 9,995003 
34 57 418982 334133 9,995003 
30 67 740264 62008 9,995003 
30 57 140982 47168 9,995003 
26 35 339329 47538 0 
40 37 1220050 111624 0 
48 48 1051119 75657 0 
44 60 2731481 250735 9,995003 
48 60 210499 40025 9,995003 
51 74 1289703 57407 9,995003 
43 54 1494244 242951 9,995003 
53 50 551302 23959 9,995003 
44 40 511398 197371 9,995003 
47 24 173888 22610 9,995003 
44 37 89781 35509 9,995003 
35 38 390458 333427 9,995003 
37 34 888214 337018 9,995003 
37 43 360597 49905 9,995003 
43 43 201382 29408 9,995003 
50 48 384454 111569 9,995003 
50 60 291511 122933 0 
30 38 2286524 416175 9,995003 
30 30 298107 175533 9,995003 
34 44 1066097 94266 9,995003 
41 64 277953 21932 9,995003 
44 75 720525 102989 9,995003 
50 80 1733408 60155 9,995003 
53 70 687267 159407 9,995003 
48 67 996505 225375 9,995003 
54 61 1622433 46130 9,995003 
47 61 1652375 292564 9,995003 
44 60 299544 70230 9,995003 
47 54 728508 212823 9,995003 
47 63 244533 17071 0 
43 61 526608 123885 9,995003 
37 54 727327 89052 9,995003 
24 60 1418475 468516 9,995003 
23 47 2022425 219375 9,995003 
30 60 281518 12954 9,995003 
38 74 1788104 105973 9,995003 
61 64 1094228 46825 9,995003 
53 77 535957 72840 10,11568 
57 67 506085 23265 9,995003 
60 69 831526 27941 9,995003 
47 84 546184 253333 9,995003 
51 80 268609 54620 9,995003 
47 83 421141 12584 9,995003 
43 63 595363 139275 9,995003 
44 63 1197101 97822 9,995003 
44 51 252802 98639 9,995003 
40 35 365713 104278 9,995003 
38 47 1898643 314622 9,995003 
29 26 544171 159022 9,995003 
40 38 661915 29326 9,995003 
47 53 203473 5368 9,995003 
51 47 836826 158380 9,995003 
38 57 912816 41609 9,995003 
23 50 1044771 736152 9,995003 
37 38 2800783 1114832 9,995003 
37 47 501717 178163 9,995003 
44 47 723509 113306 9,995003 
47 41 93301 52239 9,995003 
51 50 1378974 133287 9,995003 
48 44 590361 85211 9,995003 
53 47 90173 17255 9,995003 
50 47 23588 40348 9,995003 
41 44 837498 319108 9,995003 
48 35 936492 185358 9,995003 
44 30 219544 154005 9,995003 
41 37 124103 18068 9,995003 
44 51 894428 141911 9,995003 
40 53 1641782 1633595 9,995003 
35 60 87323 95845 9,995003 
29 53 1873581 331481 9,995003 
38 43 2146659 143408 9,995003 
40 47 429544 48155 9,995003 
43 50 1363181 90134 9,995003 
40 54 609186 189462 9,995003 
34 60 866239 189645 9,995003 
38 64 96890 20622 9,995003 
30 61 1941950 133904 9,995003 
38 53 824286 193509 9,995003 
37 48 928151 211953 9,995003 
30 48 911778 1201557 9,995003 
23 29 1766721 337533 0 
29 37 823725 75235 9,995003 
37 41 933701 229735 9,995003 
27 48 1347694 934783 9,995003 
26 37 1189270 423783 9,995003 
17 44 517517 16008 9,995003 
27 54 167882 174496 9,995003 
37 69 416402 48003 9,995003 
47 61 147100 53485 9,995003 
43 51 824361 339901 9,995003 
47 57 195582 4431 9,995003 
56 54 212565 124427 9,995003 
40 53 161186 63637 9,995003 
54 57 2213312 92417 9,995003 
53 60 780769 171458 9,995003 
47 57 130172 33022 9,995003 
50 64 926314 271357 9,995003 
48 70 73178 18033 9,995003 
53 77 637291 106286 9,995003 
53 78 270143 49799 9,995003 
63 77 102440 111848 9,995003 
56 75 595004 57419 10,09647 
51 75 436932 19774 9,995003 
41 70 310376 43724 9,995003 
37 74 772651 88481 9,995003 
38 70 490767 72263 9,995003 
40 57 748835 98419 0 
48 63 249405 115620 9,995003 
34 64 198242 225537 9,995003 
24 54 1628402 220402 9,995003 
21 57 160508 93281 9,995003 
17 70 358039 73991 9,995003 
37 64 335085 35535 9,995003 
43 75 684440 180047 9,995003 
53 83 1050242 111056 9,995003 
56 77 187043 33090 9,995003 
51 69 84963 146233 9,995003 
41 57 190192 54954 9,995003 
30 50 1807427 229462 9,995003 
27 50 180167 88745 0 
29 67 127888 11070 0 
48 78 65537 40113 9,995003 
60 80 12475 32695 9,995003 
64 74 579827 153696 9,995003 
66 57 134946 295442 10,09849 
57 54 977718 250606 10,20102 
43 50 900163 290611 9,995003 
38 56 1865281 322481 9,995003 
38 61 1774694 176342 9,995003 
35 64 479445 76154 9,995003 
35 64 909756 110394 9,995003 
44 61 38817 42660 9,995003 
44 64 672296 110179 9,995003 
51 63 76683 19168 0 
61 60 359068 189968 0 
64 54 295466 81894 0 
57 53 616895 64069 0 
61 57 125744 46777 0 
51 48 69162 8454 0 
51 41 65566 45797 0 
75 35 38380 16809 0 
75 35 38380 16809 0 
70 37 225573 87556 0 
70 37 225573 87556 0 
57 53 35745 44660 0 
57 53 35745 44660 0 
54 57 28474 85674 0 
43 61 1158314 165555 0 
64 57 62403 16035 0 
63 60 11115 15021 0 
53 60 127991 58272 0 
74 60 13367 14775 0 
77 57 23267 7620 0 
69 56 11200 24214 0 
70 48 35029 41692 0 
50 41 161201 159894 0 
60 48 11508 50852 0 
74 53 19176 48292 0 
63 43 93158 30741 0 
69 37 7770 18534 0 
69 30 118088 16846 0 
67 43 18594 15264 0 
78 51 24161 36370 0 
70 53 15709 38147 0 
84 54 4459 10674 0 
87 40 108024 85434 0 
90 44 9577 12475 0 
88 43 23640 38966 0 
83 57 13216 6597 0 
78 66 35578 9411 0 
61 64 133150 24830 0 
53 74 153890 199414 0 
24 61 2492109 267729 0 
67 48 200327 47303 0 
83 27 662948 73558 0 
78 37 131832 55241 9,995003 
84 40 15695 26909 10,14607 
81 35 277227 20941 10,89783 
70 43 28017 22283 11,65857 
70 34 235572 27962 11,83834 
75 30 105773 27564 12,00767 
66 60 152394 18583 12,17698 
60 88 18967 44046 12,53532 
54 100 101907 10889 11,62984 
57 88 803532 57935 10,779 
60 90 536838 31205 10,0204 
67 69 640950 103740 9,995003 
75 56 949185 70087 10,10759 
80 40 43335 59663 10,22144 
69 37 121816 46961 9,995003 
83 34 37734 17445 10,1086 
69 37 120958 32181 10,6533 
66 47 7419 29755 10,77437 
83 44 10021 12545 10,87832 
74 57 20522 17031 11,50467 
84 60 125585 13654 11,63659 
84 67 50100 6949 12,2575 
67 81 51641 30366 0 
57 78 435696 43146 10,18165 
53 77 5342 43628 9,995003 
57 67 57211 13102 9,995003 
66 67 106588 66531 9,995003 
64 56 483455 45141 10,11264 
54 53 84569 34945 10,22144 
41 48 569018 344977 9,995003 
48 50 218753 50323 9,995003 
29 57 694920 98895 9,995003 
38 54 356460 80933 9,995003 
50 53 107213 29744 9,995003 
30 54 226005 34121 0 
50 51 23187 50884 9,995003 
47 53 64498 30683 9,995003 
44 53 95690 73609 9,995003 
54 60 62470 10970 9,995003 
41 74 566403 36173 9,995003 
48 84 40548 3958 9,995003 
60 96 10474 8367 9,995003 
60 90 8378 30166 9,995003 
67 69 115560 19738 9,995003 
64 54 141846 65839 10,10253 
53 37 65585 35389 10,20612 
63 27 10463 19626 9,995003 
64 38 353503 51893 10,10658 
63 37 309027 59205 0 
51 47 1952608 527316 0 
40 50 172028 46361 0 
24 34 974858 395493 0 
27 48 264346 12103 0 
48 41 81094 54866 0 
60 56 1058502 66447 0 
56 50 163953 51568 0 
67 54 46013 34132 0 
64 50 82135 44378 0 
64 50 82135 44378 0 
69 44 107099 17005 0 
69 44 107099 17005 0 
81 50 45868 19251 9,995003 
78 61 178194 24037 10,71948 
67 53 108393 127927 10,87824 
64 60 102088 45943 11,01839 
20 34 1302003 111800 0 
10 44 1412390 632016 0 
16 40 1588049 123411 0 
